Àmbit;Dimensió;Centre_Territori;Granularitat;Indicador;Sexe;Grup_edat;Any;Resultat;Catalunya;RaO O_E;IC inferior;IC superior
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-A;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Home;45-64;2024;61.91;63.04;1.02;1;1.049
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-B;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Total;45-64;2024;62.07;63.21;1.04;1.027;1.057
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-A;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Home;75-84;2024;58.84;60.84;1.03;0.994;1.06
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-B;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Total;75-84;2024;62.86;60.04;1.11;1.09;1.135
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Total;Total;2024;50.21;63.13;0.87;0.863;0.875
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Home;65-74;2024;51.53;64;0.82;0.804;0.844
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Dona;65-74;2024;55.81;66.19;0.91;0.894;0.931
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Total;65-74;2024;53.94;65.19;0.87;0.86;0.887
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-B;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Total;65-74;2024;60.47;65.19;0.98;0.957;1.002
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-B;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Dona;75-84;2024;63.5;59.46;1.14;1.106;1.166
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Dona;85+;2024;29.2;34.75;0.86;0.836;0.885
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-A;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Dona;15-44;2024;65.53;65.79;1.04;1.014;1.057
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-B;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Dona;15-44;2024;65.91;65.79;1.04;1.022;1.061
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-A;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Total;45-64;2024;62.59;63.21;1.05;1.034;1.066
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-B;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Home;Total;2024;58.71;64.78;0.99;0.98;1.01
Atenció Primària i Comunitària;Accessibilitat;Barcelona 5-B;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Home;45-64;2024;61.54;63.04;1.02;0.995;1.042
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-A;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Dona;45-64;2024;63.04;63.34;1.07;1.047;1.088
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Dona;Total;2024;49.88;61.86;0.88;0.875;0.89
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-B;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Home;65-74;2024;58.24;64;0.93;0.898;0.965
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Total;15-44;2024;56.09;67.22;0.88;0.867;0.891
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-B;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Dona;Total;2024;58.08;61.86;1.03;1.015;1.041
Atenció Primària i Comunitària;Accessibilitat;Barcelona 4-B;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Total;Total;2024;58.34;63.13;1.01;1.004;1.024
Atenció Primària i Comunitària;Accessibilitat;Barcelona 2-C;Àrea Bàsica de Salut;Percentatge de visites presencials a l'atenció primària i comunitària;Home;45-64;2024;50.27;63.04;0.83;0.814;0.849
